url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,11,9
/mponagandla/Python-Resume-Generator/tree/master/resources,2,2
/mponagandla/Python-Resume-Generator/blob/master/resources/example_resume_content.yaml,2,1
/mponagandla/Python-Resume-Generator/blob/master/resources/generated-resumes/Manoj Ponagandla JavaSpring.pdf,2,1
/mponagandla/Python-Resume-Generator/blob/master/resources/generated-resumes/github_SE3_opt2.pdf,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/resources,2,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,1,1
/mponagandla/Python-Resume-Generator/blob/master/.env.example,1,1
/mponagandla/Python-Resume-Generator/blob/master/ARCHITECTURE.md,1,1
