time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,44,12,18,2
2026-05-01 00:00:00+00:00,45,14,0,0
2026-05-02 00:00:00+00:00,21,9,8,3
2026-05-03 00:00:00+00:00,23,9,0,0
2026-05-04 00:00:00+00:00,31,9,1,1
2026-05-05 00:00:00+00:00,33,10,0,0
2026-05-06 00:00:00+00:00,36,12,13,1
2026-05-07 00:00:00+00:00,34,11,0,0
2026-05-08 00:00:00+00:00,46,19,1,1
2026-05-09 00:00:00+00:00,29,10,0,0
2026-05-10 00:00:00+00:00,10,5,0,0
2026-05-11 00:00:00+00:00,28,9,0,0
2026-05-12 00:00:00+00:00,37,10,0,0
2026-05-13 00:00:00+00:00,17,6,0,0
