time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,1,1,4,1
2026-03-24 00:00:00+00:00,0,0,0,0
2026-03-25 00:00:00+00:00,0,0,0,0
2026-03-26 00:00:00+00:00,5,3,2,1
2026-03-27 00:00:00+00:00,5,5,0,0
2026-03-28 00:00:00+00:00,1,1,0,0
2026-03-29 00:00:00+00:00,1,1,0,0
2026-03-30 00:00:00+00:00,12,6,4,2
2026-03-31 00:00:00+00:00,3,3,1,1
2026-04-01 00:00:00+00:00,0,0,2,2
2026-04-02 00:00:00+00:00,0,0,3,2
2026-04-03 00:00:00+00:00,2,2,0,0
2026-04-04 00:00:00+00:00,1,1,1,1
2026-04-05 00:00:00+00:00,0,0,1,1
2026-04-06 00:00:00+00:00,38,19,1,1
2026-04-07 00:00:00+00:00,9,6,0,0
2026-04-08 00:00:00+00:00,17,9,0,0
2026-04-09 00:00:00+00:00,24,9,0,0
2026-04-10 00:00:00+00:00,28,10,0,0
2026-04-11 00:00:00+00:00,31,13,1,1
2026-04-12 00:00:00+00:00,12,7,0,0
2026-04-13 00:00:00+00:00,40,13,0,0
2026-04-14 00:00:00+00:00,30,9,0,0
2026-04-15 00:00:00+00:00,31,15,37,1
2026-04-16 00:00:00+00:00,40,14,0,0
2026-04-17 00:00:00+00:00,18,9,0,0
2026-04-18 00:00:00+00:00,23,10,2,1
2026-04-19 00:00:00+00:00,29,12,5,1
2026-04-20 00:00:00+00:00,30,9,0,0
2026-04-21 00:00:00+00:00,39,12,0,0
2026-04-22 00:00:00+00:00,46,12,3,2
2026-04-23 00:00:00+00:00,79,18,1,1
2026-04-24 00:00:00+00:00,64,28,2,2
2026-04-25 00:00:00+00:00,49,19,0,0
2026-04-26 00:00:00+00:00,26,8,0,0
2026-04-27 00:00:00+00:00,28,9,1,1
2026-04-28 00:00:00+00:00,15,6,1,1
2026-04-29 00:00:00+00:00,50,17,0,0
2026-04-30 00:00:00+00:00,44,12,18,2
2026-05-01 00:00:00+00:00,45,14,0,0
2026-05-02 00:00:00+00:00,21,9,8,3
2026-05-03 00:00:00+00:00,23,9,0,0
2026-05-04 00:00:00+00:00,31,9,1,1
2026-05-05 00:00:00+00:00,33,10,0,0
2026-05-06 00:00:00+00:00,36,12,13,1
2026-05-07 00:00:00+00:00,34,11,0,0
2026-05-08 00:00:00+00:00,46,19,1,1
2026-05-09 00:00:00+00:00,29,10,0,0
2026-05-10 00:00:00+00:00,10,5,0,0
2026-05-11 00:00:00+00:00,28,9,0,0
2026-05-12 00:00:00+00:00,37,10,0,0
2026-05-13 00:00:00+00:00,17,6,0,0
2026-05-14 00:00:00+00:00,13,7,1,1
2026-05-15 00:00:00+00:00,26,7,14,1
2026-05-16 00:00:00+00:00,10,5,0,0
2026-05-17 00:00:00+00:00,28,9,1,1
2026-05-18 00:00:00+00:00,22,9,16,1
2026-05-19 00:00:00+00:00,17,8,28,3
2026-05-20 00:00:00+00:00,17,7,0,0
2026-05-21 00:00:00+00:00,18,9,2,1
2026-05-22 00:00:00+00:00,23,8,10,3
2026-05-23 00:00:00+00:00,10,6,0,0
2026-05-24 00:00:00+00:00,24,10,2,1
2026-05-25 00:00:00+00:00,67,25,6,1
2026-05-26 00:00:00+00:00,16,7,1,1
2026-05-27 00:00:00+00:00,18,7,0,0
2026-05-28 00:00:00+00:00,14,6,0,0
2026-05-29 00:00:00+00:00,23,8,22,2
2026-05-30 00:00:00+00:00,34,12,0,0
2026-05-31 00:00:00+00:00,17,7,2,2
2026-06-01 00:00:00+00:00,15,7,0,0
2026-06-02 00:00:00+00:00,14,5,4,1
2026-06-03 00:00:00+00:00,24,11,0,0
2026-06-04 00:00:00+00:00,26,9,0,0
2026-06-05 00:00:00+00:00,23,8,0,0
2026-06-06 00:00:00+00:00,27,10,0,0
2026-06-07 00:00:00+00:00,20,7,0,0
2026-06-08 00:00:00+00:00,18,9,0,0
2026-06-09 00:00:00+00:00,17,7,0,0
2026-06-10 00:00:00+00:00,12,5,0,0
2026-06-11 00:00:00+00:00,6,6,13,2
2026-06-12 00:00:00+00:00,18,7,0,0
2026-06-13 00:00:00+00:00,64,10,0,0
2026-06-14 00:00:00+00:00,33,10,0,0
2026-06-15 00:00:00+00:00,38,11,0,0
2026-06-16 00:00:00+00:00,31,11,0,0
2026-06-17 00:00:00+00:00,18,7,0,0
2026-06-18 00:00:00+00:00,27,9,0,0
2026-06-19 00:00:00+00:00,66,18,0,0
2026-06-20 00:00:00+00:00,49,14,1,1
2026-06-21 00:00:00+00:00,52,14,0,0
2026-06-22 00:00:00+00:00,61,15,0,0
2026-06-23 00:00:00+00:00,43,14,0,0
2026-06-24 00:00:00+00:00,45,14,0,0
2026-06-25 00:00:00+00:00,17,8,0,0
2026-06-26 00:00:00+00:00,16,5,0,0
2026-06-27 00:00:00+00:00,19,6,0,0
2026-06-28 00:00:00+00:00,16,7,0,0
2026-06-29 00:00:00+00:00,33,10,2,1
2026-06-30 00:00:00+00:00,36,12,5,1
2026-07-01 00:00:00+00:00,9,7,0,0
2026-07-02 00:00:00+00:00,14,7,0,0
2026-07-03 00:00:00+00:00,13,6,0,0
2026-07-04 00:00:00+00:00,31,12,0,0
2026-07-05 00:00:00+00:00,4,4,0,0
2026-07-06 00:00:00+00:00,35,8,0,0
2026-07-07 00:00:00+00:00,18,6,0,0
2026-07-08 00:00:00+00:00,0,0,0,0
2026-07-09 00:00:00+00:00,11,4,0,0
2026-07-10 00:00:00+00:00,35,11,0,0
2026-07-11 00:00:00+00:00,9,4,8,1
2026-07-12 00:00:00+00:00,1,1,1,1
2026-07-13 00:00:00+00:00,17,3,0,0
2026-07-14 00:00:00+00:00,10,5,0,0
2026-07-15 00:00:00+00:00,8,3,0,0
2026-07-16 00:00:00+00:00,9,4,0,0
2026-07-17 00:00:00+00:00,21,7,0,0
2026-07-18 00:00:00+00:00,1,1,0,0
2026-07-19 00:00:00+00:00,1,1,1,1
2026-07-20 00:00:00+00:00,29,6,5,1
2026-07-21 00:00:00+00:00,13,4,0,0
2026-07-22 00:00:00+00:00,12,8,0,0
2026-07-23 00:00:00+00:00,19,6,0,0
2026-07-24 00:00:00+00:00,6,3,0,0
